ID,Name,Phone,Payment,Points,Free_Drinks
106,Megan Orr,2742643506,Cash,0,0
107,Elizabeth Kelley,9265475781,Cash,0,0
108,Dustin Jordan,4393686511,Card,0,0
109,Mary Marshall,7693619978,Card,0,0
110,Daniel Kennedy,3486782756,Gift Card,0,0
111,Rebecca Jackson,6989476573,Cash,0,0
112,Jose Schultz,3258228019,Cash,0,0
113,Robert Potter,2278314654,Card,0,0
114,Courtney Gonzalez,7439762686,Card,0,0
115,David Alvarez,3837051303,Card,0,0
116,Angel Perry,2555688857,Gift Card,0,0
117,Cheyenne Horton,7208286050,Gift Card,0,0
118,David Douglas Jr.,8439122284,Gift Card,0,0
119,Patricia Rodriguez,6686594122,Card,0,0
120,Christopher Rubio,2237942024,Card,0,0
121,Amber Wright,8048541373,Cash,0,0
122,Joyce Solis,5163781202,Gift Card,0,0
123,Victoria Larson,7279479871,Card,0,0
124,Stephanie Salazar,4646326925,Gift Card,0,0
125,Kathy Rivas,4306152307,Gift Card,0,0
126,Stephanie Manning,8679035394,Cash,0,0
127,David Wright,9747004135,Cash,0,0
128,Pamela Boyd,8756624344,Gift Card,0,0
129,Denise Jones,3375687072,Gift Card,0,0
130,Devon Flores,2823235930,Card,0,0
131,Brenda Hall,8532454543,Card,0,0
132,Michelle Brown,2934066432,Gift Card,0,0
133,Joshua Perry,8046518137,Gift Card,0,0
134,Jason Stein,7892098521,Gift Card,0,0
135,Melissa Gates,3203808665,Cash,0,0
136,Jamie Smith,5016786037,Card,0,0
137,Paul Castaneda,4759158270,Gift Card,0,0
138,Jennifer Adkins,6597832897,Cash,0,0
139,Lindsey Walker,4745487504,Cash,0,0
140,Jeffrey Johnson,2999293939,Cash,0,0
141,Michael Powell,3562979667,Gift Card,0,0
142,John Anderson,8842462345,Card,0,0
143,Alyssa Long,9287947860,Card,0,0
144,Alyssa Day,3985069472,Cash,0,0
145,Joel Williams,9907235439,Cash,0,0
146,Daniel Murphy,3956202018,Cash,0,0
147,Jamie Walton,8683113466,Cash,0,0
148,Darlene Miller,8208151155,Cash,0,0
149,Joshua Cooke,7143543036,Cash,0,0
150,Matthew Harrington,3752934842,Card,0,0
151,Nicole Herring,2174612360,Gift Card,0,0
152,Alex Hernandez,8197169776,Card,0,0
153,Michael Elliott,9746475728,Gift Card,0,0
154,Michael Wang,4885278224,Gift Card,0,0
155,Lawrence Adkins,2736065989,Gift Card,0,0
156,Robert Oconnell,3197715714,Gift Card,0,0
157,Alexander Collins,3329549921,Cash,0,0
158,Tina Sanders,3686975690,Gift Card,0,0
159,Angela Vaughn,8918485582,Cash,0,0
160,Ashley Barton,4747014564,Card,0,0
161,Lindsay Martinez,7915131639,Card,0,0
162,Dr. Hannah Patterson,5126579476,Gift Card,0,0
163,Jonathan Peterson,7922034342,Card,0,0
164,Samantha Garcia,5619652395,Gift Card,0,0
165,Madison Poole,8103234341,Gift Card,0,0
166,Jessica Gross,7633844427,Cash,0,0
167,Debra Morton,3122516437,Cash,0,0
168,Karen Graham,6419016329,Card,0,0
169,Debra Christian,8632356821,Gift Card,0,0
170,Angelica Keith,6764614804,Cash,0,0
171,John Bishop,5094109566,Cash,0,0
172,Allen Rosales,9488943123,Card,0,0
173,Daniel Salinas,8915807388,Card,0,0
174,Spencer Haynes,9064329506,Card,0,0
175,Adam Vaughan,4126857236,Card,0,0
176,Nathan Freeman,7213002331,Cash,0,0
177,Melissa Brewer,8329169441,Cash,0,0
178,Ricky Davis II,9129549366,Gift Card,0,0
179,Elizabeth Perkins,9439708360,Card,0,0
180,Joseph Coleman,9976408660,Card,0,0
181,Erin Warner,6182868242,Gift Card,0,0
182,David Martinez,3676547133,Gift Card,0,0
183,Bryan Herrera,6752685821,Cash,0,0
184,Cathy Robinson,5549399110,Gift Card,0,0
185,Dr. William Warren,2397924746,Cash,0,0
186,Brian Lee,9846641077,Card,0,0
187,Christopher Smith,6106285470,Cash,0,0
188,Denise Mccann,7486626531,Card,0,0
189,Melissa Martinez,9708485727,Cash,0,0
190,Katherine Salas,3527389617,Card,0,0
191,Julie Alexander,4409257883,Gift Card,0,0
192,Anthony Everett,6305124184,Cash,0,0
193,Rodney Morales,8005867907,Gift Card,0,0
194,Mark Brown,6247934896,Cash,0,0
195,Justin Torres,3118453506,Gift Card,0,0
196,Bailey Duran DDS,8985575604,Card,0,0
197,Courtney Mills,5826806950,Cash,0,0
198,Jeremy Dalton,6578498391,Cash,0,0
199,Elizabeth Oliver DDS,6903865766,Card,0,0
200,Theresa Clark,4132891758,Card,0,0
201,Matthew Moore,2662217485,Cash,0,0
202,Benjamin Smith,6299799997,Card,0,0
203,Kirk Carter,9248945532,Cash,0,0
204,Michael Warner,9974453551,Card,0,0
205,Michael Bradshaw,8729256214,Card,0,0
206,Lori Guerrero,3096902167,Cash,0,0
207,Jessica Stephens,8326705829,Cash,0,0
208,Susan Serrano,6603335782,Gift Card,0,0
209,Christopher Parker,8218472805,Gift Card,0,0
210,Laura Roberts,6586484932,Card,0,0
211,Michael Lyons,7279507087,Card,0,0
212,Kathryn Snyder,3502598001,Gift Card,0,0
213,Andrew Reynolds,5928158548,Card,0,0
214,David Davis,6962974898,Card,0,0
215,Sara Johnston,2022714628,Card,0,0
216,Yvonne Chambers,8968021748,Cash,0,0
217,Andrew Avila,4029121659,Card,0,0
218,Matthew Moon,5584248968,Gift Card,0,0
219,Kevin Walters,5246994860,Gift Card,0,0
220,Brandon Bailey MD,2739708369,Gift Card,0,0
221,Shannon Rivera,9158457303,Card,0,0
222,Donna Landry,5967755848,Card,0,0
223,Krista Gibson,4283867707,Card,0,0
224,Frank Cordova,4458448046,Cash,0,0
225,Jose Travis,5655767300,Card,0,0
226,Kimberly Gutierrez,7678004899,Cash,0,0
227,Isaiah Avila,9562587195,Cash,0,0
228,Olivia Harris,4742818634,Cash,0,0
229,Tanya Kim,9438843370,Cash,0,0
230,Barbara Dudley,5083271977,Cash,0,0
231,Cynthia Moore,3536281475,Card,0,0
232,Kristen Davis,8569371279,Card,0,0
233,Susan Murray MD,4644737428,Cash,0,0
234,Kathleen Moran,9937349533,Cash,0,0
235,Denise Davenport,7502903529,Cash,0,0
236,Mrs. Kristen Reyes,5256774810,Cash,0,0
237,Katie Suarez,5055023324,Gift Card,0,0
238,Desiree Tyler,6718122161,Gift Card,0,0
239,Timothy Romero,3905203960,Card,0,0
240,Diane Evans,3558628299,Gift Card,0,0
241,Yvonne Burns,7397231791,Gift Card,0,0
242,Joshua Reed,5222383133,Cash,0,0
243,Kimberly Gibson,5002896797,Gift Card,0,0
244,Colin Terry,4787547553,Cash,0,0
245,Cynthia Rowe,9239538610,Cash,0,0
246,Patrick Thornton,8213039076,Card,0,0
247,Jasmin Alvarado,8307804320,Card,0,0
248,Veronica Simpson,8579764155,Card,0,0
249,Jonathan Lawrence,9882378451,Gift Card,0,0
250,Shelly Alexander,6696705933,Gift Card,0,0
251,Joyce Bowen,3097449084,Card,0,0
252,Matthew Moore,3673912020,Cash,0,0
253,Wayne Morgan,4008076363,Cash,0,0
254,Marie Christian,7263669863,Cash,0,0
255,Shannon James,3905444893,Cash,0,0
256,Nathan Malone,4894282267,Cash,0,0
257,Amanda Jones,4857157498,Gift Card,0,0
258,Tammie Bright,2977187211,Cash,0,0
259,Jessica Garcia,2493371203,Gift Card,0,0
260,Shelia Wallace,8819557507,Cash,0,0
261,Stephanie Williams,4609363451,Cash,0,0
262,Elaine Brooks,8138377222,Gift Card,0,0
263,Joseph Knight,4245075719,Cash,0,0
264,Carolyn Miller,4063908513,Cash,0,0
265,Lisa Allen,4594798084,Cash,0,0
266,Briana Murray,3847989818,Cash,0,0
267,David Smith,9742461335,Cash,0,0
268,Stephanie Byrd,2094751365,Cash,0,0
269,Jeremy Reed,3498738064,Gift Card,0,0
270,Margaret Coleman,4953963838,Gift Card,0,0
271,Ryan Gonzalez,4045338381,Gift Card,0,0
272,John Young,2703171559,Card,0,0
273,Laura Haney,7455024536,Card,0,0
274,William Barrett,7569769892,Gift Card,0,0
275,Keith Jennings,5165417059,Cash,0,0
276,Amber Obrien,2284883412,Cash,0,0
277,Tanner Mitchell DDS,8903735716,Cash,0,0
278,Heather Fields,4449593083,Cash,0,0
279,Megan Le,7527176125,Card,0,0
280,Sara Fuller,4249103088,Card,0,0
281,Maria Parker,2845609174,Gift Card,0,0
282,Kevin Oconnor,8556298161,Cash,0,0
283,Edward Burgess,6052308446,Card,0,0
284,Carlos Ryan,9199054007,Card,0,0
285,Kiara Mcintyre,2008041004,Card,0,0
286,Dawn Summers,3546583704,Gift Card,0,0
287,Dr. Paul Morgan,5853226717,Card,0,0
288,Victor Taylor,5107691312,Card,0,0
289,Shannon Ramsey,6842988254,Card,0,0
290,Tracy Ballard,2966726924,Cash,0,0
291,Richard Smith,7495156042,Cash,0,0
292,Jordan Chambers,5724847905,Cash,0,0
293,Lauren Carson,8027974850,Cash,0,0
294,Ashley Hall,8572621408,Gift Card,0,0
295,Stephen Hoffman,8619863999,Cash,0,0
296,Connie Brown,7135216968,Cash,0,0
297,Susan Turner,4164476422,Gift Card,0,0
298,Charles Shah,4178341622,Gift Card,0,0
299,Johnathan Davis,5007841327,Gift Card,0,0
300,Brandy Chavez,5514661245,Card,0,0
301,Natalie Bautista,4187037836,Gift Card,0,0
302,Patrick Moore,8796323423,Gift Card,0,0
303,Brett Burns,9322428294,Card,0,0
304,Trevor Johnson,2474452597,Card,0,0
305,Jeremy Sampson,4832432480,Cash,0,0
306,Ariana Jennings,5545906409,Cash,0,0
307,Vanessa Howard,8352997204,Card,0,0
308,Colton Martinez,4068718080,Gift Card,0,0
309,Jordan Bates,6105343724,Gift Card,0,0
310,Linda Smith,7405411231,Cash,0,0
311,Dana Martinez,7242307339,Cash,0,0
312,Andrea Hubbard,7844469474,Cash,0,0
313,Daniel Kane,7753019356,Card,0,0
314,Charles Lester,8029733375,Cash,0,0
315,Scott Thomas,6587666860,Card,0,0
316,David Thompson,7283525143,Gift Card,0,0
317,Allison Smith,6448843524,Gift Card,0,0
318,Cynthia Morris,6006988947,Card,0,0
319,Anthony Harmon,3397611336,Gift Card,0,0
320,Nichole Alvarez,7194221490,Cash,0,0
321,Kayla Rodriguez,6796488079,Cash,0,0
322,Theresa Williams,5976336624,Cash,0,0
323,Sharon Boyd,6206309930,Card,0,0
324,Victor Brown,6466065459,Cash,0,0
325,James Parks,8042439084,Card,0,0
326,Theodore Jones Jr.,7719555853,Gift Card,0,0
327,Ana Hill,5424318576,Cash,0,0
328,Kimberly Nguyen,3464768081,Cash,0,0
329,Kerry Chavez DDS,7556492713,Card,0,0
330,Michael Farrell,4847418257,Gift Card,0,0
331,Patricia Le,6889159753,Cash,0,0
332,Jesse Perez,3493415501,Cash,0,0
333,Jesse Perry,3335573232,Gift Card,0,0
334,Jeffery Ortega,3034613909,Cash,0,0
335,Christian Leblanc,8165923432,Gift Card,0,0
336,Ronald Davis,2149508237,Gift Card,0,0
337,Parker Cain,6894555811,Cash,0,0
338,Laurie Hoffman,6182984578,Cash,0,0
339,Bryan Gomez,8805478992,Card,0,0
340,Nicole Parrish,7817721137,Cash,0,0
341,Tracy Burke,2969928891,Card,0,0
342,Kenneth Lewis,2539239111,Card,0,0
343,Courtney Rodriguez,7207619794,Cash,0,0
344,Holly Farmer,6074903401,Cash,0,0
345,Renee Bruce,8466278135,Card,0,0
346,Sabrina Austin,2734384430,Cash,0,0
347,Allison Hickman,2193629615,Gift Card,0,0
348,Debra White,7998799745,Cash,0,0
349,Ellen Morgan,6129653469,Cash,0,0
350,Sergio Knight,2037108325,Cash,0,0
351,Charles Schultz,7205771740,Gift Card,0,0
352,Paul Lewis,8893589531,Card,0,0
353,Glen Wood,7182455496,Cash,0,0
354,Paula Bradley,2359627786,Card,0,0
355,Anthony Moore,5529958733,Cash,0,0
356,Megan Nelson,9076667090,Gift Card,0,0
357,Karla Ramos,5493161001,Gift Card,0,0
358,Paul Wilson,8385737378,Gift Card,0,0
359,Douglas Gregory,6208317329,Cash,0,0
360,Mr. Andrew Foster,7135772784,Gift Card,0,0
361,Aimee Turner,3877861164,Gift Card,0,0
362,Chad Scott,3337017971,Card,0,0
363,Adam Burgess,7098655766,Cash,0,0
364,James Padilla,8446716104,Cash,0,0
365,Sandra Drake,2132009775,Gift Card,0,0
366,Scott Williams,6364202447,Card,0,0
367,Thomas Atkins,6112892465,Gift Card,0,0
368,Laura Mckinney,7546061253,Card,0,0
369,Brian Smith,9629221725,Gift Card,0,0
370,Robert Montgomery,8207447982,Gift Card,0,0
371,Tamara Davis,3675103633,Card,0,0
372,Dana Chapman,5259299061,Gift Card,0,0
373,Jennifer Collins,2055197308,Gift Card,0,0
374,Gary Jackson,2598109631,Card,0,0
375,Ashley Hicks,2125381569,Gift Card,0,0
376,Hannah Luna,8455963391,Cash,0,0
377,Robin Young,7594559876,Card,0,0
378,Craig Morrison,6797389609,Cash,0,0
379,Mary Thompson,8406275525,Gift Card,0,0
380,Kathleen Webster,6794453232,Gift Card,0,0
381,Joann Glass,2853674395,Card,0,0
382,Madison Weber,7668632635,Cash,0,0
383,Lori Hernandez,7843093633,Gift Card,0,0
384,Jeremy Turner,9736022932,Gift Card,0,0
385,Anthony Romero,6812211449,Card,0,0
386,Jesse Brown,6978043585,Cash,0,0
387,Angela Lin,8454997668,Cash,0,0
388,Lisa Hunter,9308711393,Card,0,0
389,Julian Conner,5808424853,Gift Card,0,0
390,Joanna Pacheco,3234933190,Cash,0,0
391,Erica Alvarez,4505033828,Cash,0,0
392,Antonio Garcia,5312461333,Gift Card,0,0
393,Gwendolyn Klein,3624906210,Card,0,0
394,Carrie Wright,2469613261,Cash,0,0
395,Jeffrey Mills,7583078399,Gift Card,0,0
396,Jake Campbell,2752543438,Cash,0,0
397,George Harper,8008961459,Cash,0,0
398,Maria Jones,4609666016,Cash,0,0
399,Michael Mitchell,7255256854,Card,0,0
400,Mary Escobar,6142176959,Cash,0,0
401,Felicia Aguilar,6076427560,Cash,0,0
402,Gregory Ponce,7124183410,Cash,0,0
403,Jenna Larson,9717207126,Cash,0,0
404,Emily Bennett,2714464274,Gift Card,0,0
405,Robin Santiago,6493951691,Cash,0,0
406,Nancy Jennings,2484258530,Gift Card,0,0
407,Maria Henderson,2745209735,Cash,0,0
408,Jack White,3414039538,Card,0,0
409,Travis Tucker,9663996193,Cash,0,0
410,Chad Jones,7768564652,Gift Card,0,0
411,Ashley Wise,4447123245,Card,0,0
412,Sophia Johnson,7545562293,Card,0,0
413,Ralph Anderson,8645534836,Cash,0,0
414,Christopher Guerra,3713319632,Cash,0,0
415,Rhonda Martin,5605261473,Cash,0,0
416,Jason Rhodes,3979651633,Cash,0,0
417,Jeremy Mitchell,4652924561,Cash,0,0
418,Joann Ferguson,7924202861,Cash,0,0
419,Robert Harrison,5187401329,Cash,0,0
420,Holly Valentine,4664203906,Card,0,0
421,Mrs. Diane Reyes,7025976983,Cash,0,0
422,Tracy Montoya,3788522001,Gift Card,0,0
423,Brenda Wright,4643795196,Card,0,0
424,Shelly Spencer,2762373674,Cash,0,0
425,Ryan Rosales,9125728450,Card,0,0
426,Phillip Nelson,6568913352,Cash,0,0
427,Brittany Kim,3202672016,Card,0,0
428,Courtney Hayes,3985234312,Card,0,0
429,Alexander Brown,9759358176,Cash,0,0
430,Cynthia Vang,6413987578,Card,0,0
431,Alfred Galvan,8478602228,Cash,0,0
432,Marie Moody,7334594140,Card,0,0
433,Dustin Gallegos,7546177837,Gift Card,0,0
434,Brenda Thornton,7582255345,Card,0,0
435,Aaron Miller,4615091268,Cash,0,0
436,Ruben Dunn,4667768814,Cash,0,0
437,Kelsey Rodriguez,3706378577,Card,0,0
438,Eric Williams,8669523681,Cash,0,0
439,Riley Bryant,7014155215,Card,0,0
440,Taylor Carlson,8844412335,Gift Card,0,0
441,Jose Allen,2455846077,Gift Card,0,0
442,Jeffrey Mendez,6516316153,Card,0,0
443,Jason Beck,2886065644,Card,0,0
444,William Jones,2414721549,Card,0,0
445,Katie Mcneil,9432121049,Gift Card,0,0
446,Jeanette Harrison,8542131249,Cash,0,0
447,Veronica King,4785232284,Gift Card,0,0
448,Richard Cooper,4929779934,Card,0,0
449,Lori Ingram,6044029181,Card,0,0
450,Evelyn Williams,8505723705,Cash,0,0
451,Robin Thompson,3324212832,Gift Card,0,0
452,Julie Dominguez,2832248148,Cash,0,0
453,Robin Brown,3789843482,Card,0,0
454,Judith Carter,5485383560,Gift Card,0,0
455,Curtis Williams,5658597207,Gift Card,0,0
456,Kaylee Hays,9223732825,Cash,0,0
457,Dawn Mullins,5138571718,Card,0,0
458,Howard Norman,5665747619,Gift Card,0,0
459,Evelyn Martinez,8654818018,Card,0,0
460,Steve Paul,8426302900,Card,0,0
461,Jasmine Beltran,2348383609,Card,0,0
462,Jonathan Glass MD,3056238582,Gift Card,0,0
463,Monica Miller,7849213847,Gift Card,0,0
464,Samantha Gardner,7677907315,Cash,0,0
465,Bobby Guerrero,3605788451,Gift Card,0,0
466,Lance Simmons,6508421931,Card,0,0
467,Heather Williams,6614583098,Gift Card,0,0
468,Heather Bolton,7623281403,Cash,0,0
469,William Gould,8123472749,Card,0,0
470,Mark Cox,3355276897,Card,0,0
471,Meghan Cisneros,6434494813,Cash,0,0
472,Lawrence Harrington,7194634041,Cash,0,0
473,Austin Osborne,7517826523,Cash,0,0
474,James Bradley,2823539176,Cash,0,0
475,Meghan Rush,9418831711,Card,0,0
476,Phillip Berry,5536996529,Cash,0,0
477,Jennifer Banks,7645277123,Card,0,0
478,Brian Fitzgerald,6633365921,Cash,0,0
479,Mr. Justin Green III,6988856000,Card,0,0
480,Zachary Mitchell,3587738362,Cash,0,0
481,Katherine Martinez,3958263107,Gift Card,0,0
482,Jodi Roach,2368895479,Card,0,0
483,Brandon Fleming,8463273363,Card,0,0
484,Emma Reed,5169588667,Gift Card,0,0
485,Joshua Vance,6773952277,Gift Card,0,0
486,Michelle Ho,9397016921,Cash,0,0
487,Rebecca Hicks,9585395258,Cash,0,0
488,Curtis Taylor,6208612768,Card,0,0
489,Allison Spencer,8619259910,Gift Card,0,0
490,Robert Arnold,4625294231,Card,0,0
491,Angelica Parker,6662462279,Card,0,0
492,Dr. Kelly Hammond DVM,6554771783,Card,0,0
493,William Day,3116693660,Gift Card,0,0
494,Michael Cooper,9126234187,Card,0,0
495,Penny Bowman,5208063223,Cash,0,0
496,Vincent Reynolds,7836594029,Gift Card,0,0
497,Amy Martinez,4416851485,Gift Card,0,0
498,Christopher Morris,9796719705,Gift Card,0,0
499,Hannah Everett,3763515824,Cash,0,0
500,Sarah King,3617764308,Cash,0,0
501,Krista Martinez,8077795310,Gift Card,0,0
502,Joseph Shaw,2144163642,Card,0,0
503,Todd Moore,7552307693,Gift Card,0,0
504,Michelle Jacobs,5905845235,Cash,0,0
505,Kristy Bryan,9634028913,Card,0,0
506,Angel May,7374095965,Cash,0,0
507,Marilyn Wang,6834356025,Gift Card,0,0
508,Mark Jimenez,2379326105,Card,0,0
509,Donna Frye,9937607684,Cash,0,0
510,Dr. Michael Evans,7286386245,Cash,0,0
511,Anthony Gonzales,4782354300,Gift Card,0,0
512,Mr. Lawrence Edwards,9682511578,Cash,0,0
513,Morgan Valencia,5142252180,Gift Card,0,0
514,Bianca Wood,2467217036,Cash,0,0
515,Emma Owens,5178505513,Cash,0,0
516,David Davis,5309912194,Card,0,0
517,James Gilbert,2356839087,Cash,0,0
518,Sean Moore,9455109402,Gift Card,0,0
519,Kenneth Edwards,6037326047,Card,0,0
520,Kathleen Robertson,4208446556,Card,0,0
521,Mr. Alexander Landry MD,5047033558,Cash,0,0
522,Cindy Gomez,6112089935,Cash,0,0
523,Johnny Khan,9347282910,Gift Card,0,0
524,Julie Herrera,3357778825,Card,0,0
525,Jessica Khan,5806638015,Card,0,0
526,Pamela Diaz,9844507740,Gift Card,0,0
527,Kelly Lee,8835183856,Cash,0,0
528,Angel Gordon,3162941072,Card,0,0
529,Diana Hays,3297039996,Card,0,0
530,Barbara Hester,7125655275,Gift Card,0,0
531,Robert Morgan,9746131687,Card,0,0
532,Nicole Gonzalez,3433944154,Card,0,0
533,Kathryn Williams,4353764769,Card,0,0
534,Gary Wells,9332489392,Cash,0,0
535,Larry Robertson,6213324822,Gift Card,0,0
536,Louis Martin,6753805352,Gift Card,0,0
537,Nancy Evans MD,6288969218,Cash,0,0
538,Kim Erickson,8713114903,Cash,0,0
539,Robert Richardson,5928974876,Card,0,0
540,Veronica Silva,6867847511,Gift Card,0,0
541,Molly Watts,7585166454,Cash,0,0
542,John Coffey,3227428082,Gift Card,0,0
543,Paula Lane,5352282220,Gift Card,0,0
544,Lauren Jackson,8164225067,Gift Card,0,0
545,Lisa Randall,2136792801,Cash,0,0
546,Michael Johnson,8343534746,Gift Card,0,0
547,Ashley Smith,9395097528,Card,0,0
548,Christian Vaughn,4642519669,Cash,0,0
549,Reginald Knapp,5315882123,Gift Card,0,0
550,Nancy Brown,3943577315,Card,0,0
551,Daniel Nguyen,3804749061,Card,0,0
552,Kelly Edwards,8563794082,Cash,0,0
553,Thomas Peterson,3335138839,Cash,0,0
554,Raymond Le,8662786704,Gift Card,0,0
555,Melissa Bishop,2483484535,Cash,0,0
556,David Grant,4707798664,Gift Card,0,0
557,William Evans,7706808673,Cash,0,0
558,Daniel Bush,6814343591,Gift Card,0,0
559,Gregory Peck,7268833854,Cash,0,0
560,Denise Martinez,6374065993,Cash,0,0
561,Jamie Baird,5022337375,Cash,0,0
562,Tina Ballard,2256304451,Cash,0,0
563,Dwayne Klein,9889611464,Card,0,0
564,Jeremy Scott,5118243102,Card,0,0
565,Dale Ryan,6276513780,Gift Card,0,0
566,Melissa Taylor,4699958769,Gift Card,0,0
567,Laurie Sanchez,6294632406,Gift Card,0,0
568,Kiara Little,4889636919,Card,0,0
569,Jason Love,5636576510,Card,0,0
570,Randy Smith,4658961620,Cash,0,0
571,Tanya Russell,4978006950,Gift Card,0,0
572,Sherry Woods,5735125941,Card,0,0
573,Victor Morris,4887689859,Gift Card,0,0
574,Susan Davis,2249736742,Card,0,0
575,Kimberly Sharp,5193696113,Cash,0,0
576,Susan Thompson,8832294895,Gift Card,0,0
577,Casey Gillespie,6277145000,Cash,0,0
578,Jennifer Simpson DVM,4288388524,Cash,0,0
579,Tammy Mcdowell,3789274891,Card,0,0
580,Keith Rodriguez,6192884612,Cash,0,0
581,Mrs. Virginia Daniels,3535912394,Card,0,0
582,Todd Rosales MD,8344055543,Cash,0,0
583,Brian Martin,7303534063,Cash,0,0
584,David Lopez,5166398284,Gift Card,0,0
585,Rachel Bradley,7898495272,Cash,0,0
586,Casey Chase,6157381698,Card,0,0
587,Samantha Robertson,9626508666,Card,0,0
588,Michael Lopez,6669033823,Card,0,0
589,Franklin Wright,5534717901,Gift Card,0,0
